GTD ID,DATE,REGION,COUNTRY,CITY,PERPETRATOR GROUP,ATTACK TYPE,WEAPON TYPE,TARGET TYPE,FATALITIES,INJURED
200501020024,1/2/05,Middle East & North Africa,Israel,Sederot,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200501020023,1/2/05,Middle East & North Africa,Israel,Kfar Darom,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200501020022,1/2/05,Middle East & North Africa,Israel,Sederot,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200501020021,1/2/05,Middle East & North Africa,Israel,Neve Deqalim,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200501020020,1/2/05,Middle East & North Africa,Israel,Gush Katif regional council,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200501020017,1/2/05,Middle East & North Africa,Israel,Nisanit,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,1,2
200501020009,1/2/05,Middle East & North Africa,Israel,Gadid,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200501020008,1/2/05,Middle East & North Africa,Israel,Kissufim,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,"Military,Private Citizens & Property",0,0
200501010022,1/1/05,Middle East & North Africa,Israel,Neve Deqalim,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200501010021,1/1/05,Middle East & North Africa,Israel,Nezarim,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200501010020,1/1/05,Middle East & North Africa,Israel,Elei Sinai,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200412040002,12/4/04,Middle East & North Africa,West Bank and Gaza Strip,Nablus,Popular Front for the Liberation of Palestine (PFLP),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
200412040001,12/4/04,Middle East & North Africa,West Bank and Gaza Strip,Rafah,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,Unknown,Unknown
200411020007,11/2/04,Middle East & North Africa,West Bank and Gaza Strip,Dogit,Palestinian Islamic Jihad (PIJ) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200411020006,11/2/04,Middle East & North Africa,West Bank and Gaza Strip,Rafiah Yam,Palestinian Islamic Jihad (PIJ) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200411020003,11/2/04,Middle East & North Africa,West Bank and Gaza Strip,Neveh Dekalim,"Hamas (Islamic Resistance Movement) (suspected),Palestinian Islamic Jihad (PIJ) (suspected)",Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200411010001,11/1/04,Middle East & North Africa,Israel,Tel Aviv,Popular Front for the Liberation of Palestine (PFLP),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,5,32
200410120003,10/12/04,Middle East & North Africa,West Bank and Gaza Strip,Gaza,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Government (General),0,1
200410070004,10/7/04,Middle East & North Africa,Egypt,Ras Shitan,"Abdullah Azzam Brigades,Egyptian Tawhid and Jihad,Jamaa Al-Islamiya Al-Alamiya (World Islamist Group)",Bombing/Explosion,Explosives/Bombs/Dynamite,Business,2,6
200410070003,10/7/04,Middle East & North Africa,Egypt,Ras Shitan,"Abdullah Azzam Brigades,Egyptian Tawhid and Jihad,Jamaa Al-Islamiya Al-Alamiya (World Islamist Group)",Bombing/Explosion,Explosives/Bombs/Dynamite,Business,3,6
200410060003,10/6/04,Middle East & North Africa,West Bank and Gaza Strip,Kfar Darom,Palestinian Islamic Jihad (PIJ),"Armed Assault,Hostage Taking (Barricade Incident)","Explosives/Bombs/Dynamite,Firearms",Private Citizens & Property,4,0
200409290001,9/29/04,Middle East & North Africa,Israel,Sderot,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,2,7
200409230001,9/23/04,Middle East & North Africa,West Bank and Gaza Strip,Morag,Unknown,Armed Assault,Firearms,Military,6,0
200409140005,9/14/04,Middle East & North Africa,West Bank and Gaza Strip,Qalqilya,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Police,1,3
200408300003,8/30/04,Middle East & North Africa,West Bank and Gaza Strip,Neveh Dekalim,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
