GTD ID,DATE,REGION,COUNTRY,CITY,PERPETRATOR GROUP,ATTACK TYPE,WEAPON TYPE,TARGET TYPE,FATALITIES,INJURED
201407080076,7/8/14,Middle East & North Africa,Israel,Zikim,Hamas (Islamic Resistance Movement),Armed Assault,"Explosives/Bombs/Dynamite,Firearms",Military,5,1
201407070087,7/7/14,Middle East & North Africa,Israel,Reim Kibbutz,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201407070086,7/7/14,Middle East & North Africa,Israel,Eshkol regional council,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407070077,7/7/14,Middle East & North Africa,Israel,Netivot,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407070076,7/7/14,Middle East & North Africa,Israel,Ashdod,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407070075,7/7/14,Middle East & North Africa,West Bank and Gaza Strip,Nof Tzion,Unknown,Armed Assault,Firearms,Private Citizens & Property,0,0
201407070073,7/7/14,Middle East & North Africa,West Bank and Gaza Strip,Einabus,Israeli settlers,Hostage Taking (Kidnapping),"Firearms,Melee",Private Citizens & Property,0,0
201407060083,7/6/14,Middle East & North Africa,West Bank and Gaza Strip,Kafr Yasuf,Israeli extremists (suspected),Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
201407060082,7/6/14,Middle East & North Africa,Israel,Beersheba,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407050101,7/5/14,Middle East & North Africa,Israel,Ofakim,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407050100,7/5/14,Middle East & North Africa,Israel,Hof Ashkelon regional council,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201407050085,7/5/14,Middle East & North Africa,Israel,Eshkol regional council,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,1
201407050084,7/5/14,Middle East & North Africa,Israel,Beersheba,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407050076,7/5/14,Middle East & North Africa,West Bank and Gaza Strip,Nablus,Israeli settlers,Hostage Taking (Kidnapping),"Melee,Chemical",Private Citizens & Property,0,1
201407040098,7/4/14,Middle East & North Africa,Israel,Eshkol regional council,Palestinian Extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407040096,7/4/14,Middle East & North Africa,Israel,Ofakim,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201407040095,7/4/14,Middle East & North Africa,Israel,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407040094,7/4/14,Middle East & North Africa,Israel,Sderot,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201407040089,7/4/14,Middle East & North Africa,West Bank and Gaza Strip,Gaza,Palestinian Extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,1
201407030095,7/3/14,Middle East & North Africa,Israel,Sdot Negev regional council,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407030094,7/3/14,Middle East & North Africa,Israel,Eshkol regional council,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,1
201407030090,7/3/14,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,Israeli settlers,Hostage Taking (Kidnapping),Unknown,Private Citizens & Property,0,0
201407030074,7/3/14,Middle East & North Africa,Israel,Netivot,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201407030073,7/3/14,Middle East & North Africa,Israel,Ashkelon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201407030072,7/3/14,Middle East & North Africa,Israel,Sderot,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407030071,7/3/14,Middle East & North Africa,Israel,Sderot,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407020044,7/2/14,Middle East & North Africa,Israel,Sderot,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201407020043,7/2/14,Middle East & North Africa,Israel,Sderot,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,"Private Citizens & Property,Utilities",0,0
201407020031,7/2/14,Middle East & North Africa,West Bank and Gaza Strip,Akraba,Unknown,Facility/Infrastructure Attack,Incendiary,Business,0,0
201407020016,7/2/14,Middle East & North Africa,West Bank and Gaza Strip,Beit Hanina,Israeli settlers,Hostage Taking (Kidnapping),Incendiary,Private Citizens & Property,1,0
201407010013,7/1/14,Middle East & North Africa,West Bank and Gaza Strip,Shu'fat,Israeli settlers,Hostage Taking (Kidnapping),Unknown,Private Citizens & Property,0,1
201406300096,6/30/14,Middle East & North Africa,Israel,Kafr Qasem,Unknown,Armed Assault,"Melee,Melee",Private Citizens & Property,0,1
201406290029,6/29/14,Middle East & North Africa,Israel,Netivot,Popular Resistance Committees,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201406280020,6/28/14,Middle East & North Africa,Israel,Sderot,Popular Resistance Committees,Bombing/Explosion,Explosives/Bombs/Dynamite,Business,0,3
201406270018,6/27/14,Middle East & North Africa,West Bank and Gaza Strip,Abasan al-Sair,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,4
201406270017,6/27/14,Middle East & North Africa,Israel,Ashkelon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201406240030,6/24/14,Middle East & North Africa,West Bank and Gaza Strip,Beit Lahiya,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,1,3
201406240029,6/24/14,Middle East & North Africa,Israel,Eshkol regional council,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201406240028,6/24/14,Middle East & North Africa,Israel,Sdot Negev regional council,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Business,0,0
201406220038,6/22/14,Middle East & North Africa,Israel,Moshav Yated,Palestinian Extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201406220001,6/22/14,Middle East & North Africa,Israel,Tel Hazaka,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Business,1,2
201406190011,6/19/14,Middle East & North Africa,Israel,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201406190010,6/19/14,Middle East & North Africa,West Bank and Gaza Strip,Jenin,Unknown,"Bombing/Explosion,Unarmed Assault","Explosives/Bombs/Dynamite,Other",Military,0,2
201406180026,6/18/14,Middle East & North Africa,Israel,Shaar HaNegev regional council,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201406180024,6/18/14,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201406160013,6/16/14,Middle East & North Africa,Israel,Ashkelon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201406150022,6/15/14,Middle East & North Africa,West Bank and Gaza Strip,Har Gilo,Unknown,Armed Assault,Firearms,Military,0,0
201406130001,6/12/14,Middle East & North Africa,West Bank and Gaza Strip,Gush Etzion,Hamas (Islamic Resistance Movement),Hostage Taking (Kidnapping),Unknown,Private Citizens & Property,3,0
201406110066,6/11/14,Middle East & North Africa,Israel,Baeari,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Transportation,0,0
201406020043,6/2/14,Middle East & North Africa,West Bank and Gaza Strip,Tapuah,Unknown,Armed Assault,Firearms,Military,1,1
201405310052,5/31/14,Middle East & North Africa,Israel,Baqa Al Garbiyye,Unknown,Facility/Infrastructure Attack,Incendiary,Religious Figures/Institutions,0,0
201405310051,5/31/14,Middle East & North Africa,Israel,Petah Tikva,Unknown,Facility/Infrastructure Attack,Incendiary,Religious Figures/Institutions,0,0
201405300017,5/30/14,Middle East & North Africa,West Bank and Gaza Strip,Tapuah,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201405250046,5/25/14,Middle East & North Africa,West Bank and Gaza Strip,Jalazun,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,1
201405240153,5/24/14,Western Europe,Belgium,Brussels,Islamic State of Iraq and the Levant (ISIL),Armed Assault,"Firearms,Firearms",Private Citizens & Property,4,0
201405210051,5/21/14,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201405210050,5/21/14,Middle East & North Africa,West Bank and Gaza Strip,Khan Yunis,Popular Resistance Committees,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201405190079,5/19/14,Middle East & North Africa,Israel,Haifa,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201405090034,5/9/14,Middle East & North Africa,West Bank and Gaza Strip,Jalazun,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201405060098,5/6/14,Middle East & North Africa,Israel,Majdal Ash Shams,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,3
201405020066,5/2/14,Middle East & North Africa,Israel,Kissufim,Unknown,Armed Assault,Firearms,Military,0,0
201405020047,5/2/14,Middle East & North Africa,West Bank and Gaza Strip,Nablus,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,1
201404240036,4/24/14,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201404240034,4/24/14,Middle East & North Africa,West Bank and Gaza Strip,Jabaliya,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201404210046,4/21/14,Middle East & North Africa,Israel,Sderot,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Business,0,0
201404210045,4/21/14,Middle East & North Africa,West Bank and Gaza Strip,Dair al-Balah,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201404190028,4/19/14,Middle East & North Africa,Israel,Umm al-Fahm,Israeli extremists,Facility/Infrastructure Attack,Incendiary,Religious Figures/Institutions,0,0
201404160066,4/16/14,Middle East & North Africa,West Bank and Gaza Strip,Hawara,Unknown,Armed Assault,Incendiary,Private Citizens & Property,0,0
201404140045,4/14/14,Middle East & North Africa,Israel,Kissufim,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201404130049,4/14/14,Middle East & North Africa,West Bank and Gaza Strip,Hebron,Unknown,Armed Assault,Firearms,Police,1,2
201404120021,4/12/14,Middle East & North Africa,West Bank and Gaza Strip,Deir al-Balah,Democratic Front for the Liberation of Palestine (DFLP),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201404100093,4/10/14,Middle East & North Africa,Israel,Kissufim,Unknown,Armed Assault,"Explosives/Bombs/Dynamite,Firearms",Military,0,0
201404070090,4/7/14,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201404060056,4/6/14,Middle East & North Africa,West Bank and Gaza Strip,Hawara,Unknown,Armed Assault,Incendiary,Police,0,1
201404010084,4/1/14,Middle East & North Africa,Israel,Jaffa,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201403260035,3/26/14,Middle East & North Africa,Israel,Petah Tikva,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201403250047,3/25/14,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201403180073,3/18/14,Middle East & North Africa,Israel,Majdal Shams,Islamic State of Iraq and the Levant (ISIL) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,4
201403150074,3/15/14,Middle East & North Africa,West Bank and Gaza Strip,Bayt Umar,Unknown,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Police,0,4
201403140052,3/14/14,Middle East & North Africa,Israel,Har Dov,Hezbollah,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201403140043,3/14/14,Middle East & North Africa,Israel,Dovev,"Hezbollah,Islamic State of Iraq and the Levant (ISIL) (suspected)","Bombing/Explosion,Armed Assault","Explosives/Bombs/Dynamite,Firearms",Military,0,0
201403130070,3/13/14,Middle East & North Africa,Israel,Netivot,Muslim extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201403130069,3/13/14,Middle East & North Africa,Israel,Ashkelon,Muslim extremists,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201403120065,3/12/14,Middle East & North Africa,Israel,Sderot,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,1
201403120064,3/12/14,Middle East & North Africa,Israel,Unknown,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201403110069,3/11/14,Middle East & North Africa,West Bank and Gaza Strip,Khan Yunis,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,3,0
201403110066,3/11/14,Middle East & North Africa,Egypt,Cairo,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Government (Diplomatic),0,0
201403050005,3/5/14,Middle East & North Africa,Syria,Golan Heights district,Hezbollah,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,2,0
201403020046,3/2/14,Middle East & North Africa,Israel,Petah Tikva,Unknown,Armed Assault,Melee,Private Citizens & Property,0,1
201402280008,3/1/14,Middle East & North Africa,Israel,Unknown,Hezbollah (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201402230005,2/23/14,Middle East & North Africa,West Bank and Gaza Strip,Hawara,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201402200039,2/20/14,Middle East & North Africa,Israel,Petah Tikva,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Government (General),0,0
201402180015,2/18/14,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201402030033,2/3/14,Middle East & North Africa,Israel,Petah Tikva,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,2,3
201401310003,1/31/14,Middle East & North Africa,Israel,Eilat,Ansar Bayt al-Maqdis (Ansar Jerusalem),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201401290034,1/29/14,Middle East & North Africa,West Bank and Gaza Strip,Ateret,Unknown,Armed Assault,Firearms,Military,1,0
201401270028,1/27/14,Middle East & North Africa,Lebanon,Adaisseh,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,1
201401270027,1/27/14,Middle East & North Africa,West Bank and Gaza Strip,Khan Yunis,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201401220035,1/22/14,Middle East & North Africa,West Bank and Gaza Strip,Nablus,Unknown,Armed Assault,Incendiary,Transportation,0,0
201401210022,1/21/14,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Democratic Front for the Liberation of Palestine (DFLP),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201401200023,1/20/14,Middle East & North Africa,Israel,Eilat,Ansar Bayt al-Maqdis (Ansar Jerusalem),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201401200022,1/20/14,Middle East & North Africa,Israel,Eilat,Ansar Bayt al-Maqdis (Ansar Jerusalem),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201401180044,1/18/14,South Asia,Pakistan,Doaba,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Educational Institution,0,0
201401160055,1/16/14,Middle East & North Africa,Israel,Ashkelon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201401160054,1/16/14,Middle East & North Africa,Israel,Ashkelon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201401160053,1/16/14,Middle East & North Africa,Israel,Ashkelon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201401160052,1/16/14,Middle East & North Africa,Israel,Ashkelon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201401160051,1/16/14,Middle East & North Africa,Israel,Askhelon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201401150049,1/15/14,Middle East & North Africa,West Bank and Gaza Strip,Jit,Unknown,Armed Assault,Firearms,Private Citizens & Property,0,0
201401150028,1/15/14,Middle East & North Africa,West Bank and Gaza Strip,Deir Istiya,Israeli extremists,Facility/Infrastructure Attack,"Incendiary,Other",Religious Figures/Institutions,0,0
201401120003,1/12/14,Middle East & North Africa,Libya,Beida,Unknown,Assassination,Firearms,Private Citizens & Property,0,Unknown
201401090005,1/9/14,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201401060071,1/6/14,Middle East & North Africa,West Bank and Gaza Strip,Bethlehem,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201401030118,1/3/14,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,Unknown,Armed Assault,Melee,Police,0,1
201312310065,12/31/13,Middle East & North Africa,West Bank and Gaza Strip,Beit El,Israeli extremists,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
201312290034,12/29/13,Middle East & North Africa,Israel,Kiryat Shmona,Hezbollah,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201312240021,12/24/13,Middle East & North Africa,Israel,Nahal Oz,Popular Resistance Committees,Armed Assault,Firearms,Government (General),1,0
201312230023,12/23/13,Middle East & North Africa,Israel,Ashkelon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Transportation,0,0
201312220034,12/22/13,Middle East & North Africa,Israel,Bat Yam,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Transportation,0,1
201312220029,12/22/13,Middle East & North Africa,West Bank and Gaza Strip,Maale Adumim,Unknown,Armed Assault,Melee,Police,0,0
201312210022,12/21/13,Middle East & North Africa,West Bank and Gaza Strip,Khan Yunis,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,1
201312180039,12/18/13,Middle East & North Africa,Israel,Nahariya,Unknown,Facility/Infrastructure Attack,Incendiary,Government (General),0,0
201312180031,12/18/13,Middle East & North Africa,West Bank and Gaza Strip,Nablus,Unknown,Armed Assault,Incendiary,Military,0,0
201312160054,12/16/13,Middle East & North Africa,Israel,Kiryat Yam,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,1
201312060012,12/6/13,Middle East & North Africa,Syria,Quneitra district,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201311190039,11/19/13,Middle East & North Africa,Israel,Eshkol regional council,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201311190032,11/19/13,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Unknown,Armed Assault,Incendiary,Private Citizens & Property,0,0
201311180028,11/18/13,Middle East & North Africa,Israel,Rishpon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201311140045,11/14/13,Middle East & North Africa,West Bank and Gaza Strip,Sinjil,Israeli extremists,Armed Assault,Incendiary,Private Citizens & Property,0,5
201311130046,11/13/13,Middle East & North Africa,Israel,Afula,Unknown,Armed Assault,Melee,Military,1,0
201311100040,11/10/13,Middle East & North Africa,West Bank and Gaza Strip,Ras Karkar,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201311070030,11/7/13,Middle East & North Africa,West Bank and Gaza Strip,Abu Dis,Unknown,Armed Assault,Melee,Police,1,0
201311070027,11/7/13,Middle East & North Africa,West Bank and Gaza Strip,Kfar Tapuah,Unknown,Armed Assault,Firearms,Transportation,1,0
201310310030,10/31/13,Middle East & North Africa,West Bank and Gaza Strip,Khan Yunis,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,2,6
201310310027,10/31/13,Middle East & North Africa,West Bank and Gaza Strip,Huwwara,Unknown,Armed Assault,"Firearms,Incendiary",Transportation,0,0
201310210006,10/21/13,Middle East & North Africa,Israel,Kissufim,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201310170040,10/17/13,Middle East & North Africa,West Bank and Gaza Strip,Rama,Palestinian Extremists,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Military,1,1
201310110017,10/11/13,Middle East & North Africa,West Bank and Gaza Strip,Brosh,Unknown,Assassination,"Melee,Melee","Military,Private Citizens & Property",1,1
201310100030,10/10/13,Middle East & North Africa,West Bank and Gaza Strip,Burqa,Israeli settlers,Facility/Infrastructure Attack,"Incendiary,Other","Private Citizens & Property,Religious Figures/Institutions",0,0
201310090059,10/9/13,Middle East & North Africa,Israel,Unknown,Unknown,Armed Assault,"Explosives/Bombs/Dynamite,Firearms",Military,0,1
201309240028,9/24/13,Middle East & North Africa,West Bank and Gaza Strip,Tekoa,Unknown,Armed Assault,Incendiary,Military,0,0
201309220005,9/22/13,Middle East & North Africa,West Bank and Gaza Strip,Hebron,"Ahrar Al-Jalil (Free People of the Galilee),Al-Aqsa Martyrs Brigade",Armed Assault,Firearms,Military,1,0
201309200010,9/20/13,Middle East & North Africa,West Bank and Gaza Strip,Shaarei Tikva,Al-Aqsa Martyrs Brigade,Hostage Taking (Kidnapping),Unknown,Military,1,0
201309170006,9/17/13,Middle East & North Africa,West Bank and Gaza Strip,Yatma,Unknown,Armed Assault,Incendiary,Unknown,0,0
201309120005,9/12/13,Middle East & North Africa,West Bank and Gaza Strip,Nablus,Palestinian Extremists,Armed Assault,"Firearms,Incendiary,Other","Military,Private Citizens & Property",0,1
201309100028,9/10/13,Middle East & North Africa,West Bank and Gaza Strip,Alfei Menashe,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201309090034,9/9/13,Middle East & North Africa,Israel,Ashdod,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201309020002,9/2/13,Middle East & North Africa,Israel,Nahal Oz,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201309020001,9/2/13,Middle East & North Africa,Israel,Nahal Oz,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201308300033,8/30/13,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201308220006,8/22/13,Middle East & North Africa,Israel,Acre,Abdullah Azzam Brigades,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201308220005,8/22/13,Middle East & North Africa,Israel,Nahariya,Abdullah Azzam Brigades,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201308220004,8/22/13,Middle East & North Africa,Israel,Nahariya,Abdullah Azzam Brigades,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201308190002,8/19/13,Middle East & North Africa,Israel,Bet Shemesh,Israeli extremists,Facility/Infrastructure Attack,"Incendiary,Other",Religious Figures/Institutions,0,0
201308130005,8/13/13,Middle East & North Africa,Israel,Eilat,"Ansar Bayt al-Maqdis (Ansar Jerusalem),Mujahedeen Shura Council in the Environs of Jerusalem",Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201308070009,8/7/13,Middle East & North Africa,Lebanon,Labboune,Hezbollah,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,2
201308070008,8/7/13,Middle East & North Africa,Lebanon,Labboune,Hezbollah,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,2
201307280002,7/28/13,Middle East & North Africa,West Bank and Gaza Strip,Kochav HaShachar,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201307230047,7/23/13,Middle East & North Africa,Israel,Maccabim,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,3
201307140040,7/14/13,Middle East & North Africa,Israel,Unknown,Muslim Brotherhood,Armed Assault,Firearms,Military,0,0
201307110033,7/11/13,Middle East & North Africa,Israel,Karmiel,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201307050031,7/5/13,Middle East & North Africa,Israel,Netanya,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,1
201307040018,7/4/13,Middle East & North Africa,Israel,Eilat,Mujahedeen Shura Council in the Environs of Jerusalem,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201306250025,6/25/13,Middle East & North Africa,West Bank and Gaza Strip,Nablus,Unknown,Facility/Infrastructure Attack,Firearms,Transportation,0,0
201306140004,6/14/13,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,Israeli extremists (suspected),Facility/Infrastructure Attack,"Incendiary,Sabotage Equipment",Private Citizens & Property,0,0
201306110038,6/11/13,Middle East & North Africa,West Bank and Gaza Strip,Quedumim,Unknown,Armed Assault,Firearms,Military,0,0
201306020030,6/2/13,Middle East & North Africa,West Bank and Gaza Strip,Hebron,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201305280039,5/28/13,Middle East & North Africa,West Bank and Gaza Strip,Marj Naja,Israeli extremists,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
201305280038,5/28/13,Middle East & North Africa,West Bank and Gaza Strip,Zubeidat,Israeli extremists,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
201305200070,5/20/13,Southeast Asia,Philippines,New Israel,New People's Army (NPA),Hijacking,Firearms,Private Citizens & Property,0,0
201305170001,5/17/13,Middle East & North Africa,Israel,Nahariya,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
201305150038,5/15/13,Middle East & North Africa,Syria,Quneitra district,Abdul Qader Husseini Battalions of the Free Palestine movement,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201305150018,5/15/13,Middle East & North Africa,West Bank and Gaza Strip,Hursa,Unknown,Armed Assault,Incendiary,Military,0,4
201305150017,5/15/13,Middle East & North Africa,Syria,Golan Heights district,Unknown,Hostage Taking (Kidnapping),Unknown,Government (Diplomatic),0,0
201305140023,5/14/13,Middle East & North Africa,Israel,Wadi Ara,Israeli extremists,Facility/Infrastructure Attack,"Incendiary,Sabotage Equipment","Private Citizens & Property,Religious Figures/Institutions",0,0
201305130036,5/13/13,Middle East & North Africa,Israel,Nein,Unknown,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
201305080005,5/8/13,Middle East & North Africa,Israel,Holon,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Business,0,0
201305070021,5/7/13,Middle East & North Africa,West Bank and Gaza Strip,Burin,Israeli extremists,Facility/Infrastructure Attack,Incendiary,"Business,Private Citizens & Property",0,0
201305070006,5/7/13,Middle East & North Africa,Syria,Golan Heights district,Yarmouk Martyrs Brigade,Hijacking,Unknown,Government (Diplomatic),0,0
